"","k1","k2","Temp","Sunlight","Predation","Target","Water","T90"
"ENTSWzlt",-1.4515,3.0297,23,0,1,1,1,3.3
"EocthBAlt",1.6842,2.0839,25,0,1,1,1,1.3
"EocthBBlt",1.6907,3.8315,25,0,1,1,1,1.1
"EocthSAlt",1.1754,2.8548,25,0,1,1,1,1.4
"EocthSBlt",1.1969,2.4833,25,0,1,1,1,1.5
"EoctmBAlt",1.2578,1.7405,25,0,1,1,1,1.7
"EoctmBBlt",1.6184,2.7079,25,0,1,1,1,1.2
"EoctmSBlt",-4.6509,6.667,25,0,1,1,1,2.8
"EsepthBAlt",-0.8834,3.5965,25,0,1,1,1,2.4
"EsepthBBlt",-1.0963,3.1469,25,0,1,1,1,2.8
"EsepthSAlt",1.4419,2.7282,25,0,1,1,1,1.3
"EsepthSBlt",0.9048,2.0499,25,0,1,1,1,1.9
"EseptmSAlt",0.429,1.9888,25,0,1,1,1,2.4
"EseptmSBlt",1.2644,1.4138,25,0,1,1,1,1.9
"ETMarlt",-31.9578,14.8063,24,1,1,1,1,10
"EVEL2lt",4.0533,1.7332,22,0,1,4,0,0.3
"EVELlt",2.9513,2.4801,22,0,1,4,0,0.7
"EVESlt",-4.4106,14.8984,22,0,1,4,1,1.6
"EVFSlt",0.8985,4.1525,22,0,1,4,1,1.4
"EVSS2lt",0.8589,2.2809,22,0,0,4,1,1.8
"f120Clt",-2.2305,4.3586,20,0,1,3,0,2.8
"f14Clt",-10.9961,3.7992,4,0,1,3,0,32.2
"FcolwoVlt",0.2624,4.3757,22.7,1,1,3,1,1.6
"FCR10lt",-8.8222,4.3019,10,0,1,1,0,13
"FCR20lt",-4.2546,2.336,20,0,1,1,0,15.8
"FCR30lt",-2.3895,1.8295,30,0,1,1,0,12.3
"FCR4lt",-10.3143,6.044,4,0,1,1,0,7.9
"FCslowlightlt",-0.2158,2.2168,31.2,1,1,1,1,3
"fd20Clt",-4.7191,5.4716,20,0,1,3,0,3.5
"fd4Clt",-14.8653,4.9617,4,0,1,3,0,31.2
"FENTslowlightlt",-1.4118,2.6576,31.2,1,1,1,1,3.9
"G1E1lt",2.6086,9.8513,25,0,1,3,0,1
"G1F13lt",-5.4129,4.5916,13,0,0,2,0,5.2
"G1F20lt",-4.6083,4.8612,20,0,0,2,0,4.1
"G1M13lt",-7.5828,3.9669,13,0,0,2,1,11.8
"G2E2lt",3.8135,7.5513,25,0,1,3,0,0.8
"G3E1lt",5.5308,4.9551,25,0,1,3,0,0.5
"G3E2lt",4.4055,6.3656,25,0,1,3,0,0.7
"G4E1lt",5.3521,7.0453,25,0,1,3,0,0.6
"GA10lt",-7.2766,6.2335,10,0,1,3,0,4.6
"GA25lt",2.9329,6.7737,25,0,1,3,0,0.9
"GA4Cylt",-3.9622,2.1015,4,0,1,3,0,18.7
"GAh10lt",-8.7467,6.7657,10,0,1,1,0,5
"GAh25lt",-32.911,23.0173,25,0,1,1,0,4.6
"GenA15lt",-6.2225,4.8365,15,0,1,1,0,5.7
"GenA25lt",-1.8846,3.942,25,0,1,1,0,2.8
"GenB25lt",-1.592,3.4178,25,0,1,1,0,3
"Go120Clt",-7.6249,4.7296,20,0,1,3,0,8
"H101Filtlt",-12.3681,6.6367,25,0,0,2,1,9
"H41Filtlt",-0.3236,3.0502,25,0,0,2,1,2.3
"H91Filtlt",0.2693,2.9806,25,0,0,2,1,1.9
"HNTDarklt",-7.6573,5.4179,13,0,1,1,0,6.2
"HS1Filtlt",0.8781,2.7892,25,0,0,2,1,1.6
"L1F13lt",-1.8887,3.3821,13,0,0,2,0,3.3
"L1WSPlt",0.5889,4.2577,24.2,1,1,1,0,1.5
"L3WSPlt",11.4405,2.4526,29.4,1,1,1,0,0
"LamS25lt",-28.7845,9.6718,25,0,1,3,0,24.6
"List20Riverlt",-19.3534,9.7136,4,0,1,2,0,9.2
"LT2Lsaltlt",23.2307,5.2046,15,1,0,2,1,0
"M1320Clt",-8.3272,4.1105,20,0,1,3,0,12.9
"M1F13lt",-0.7351,3.1456,13,0,0,2,0,2.5
"M1F20lt",-6.9057,6.3218,20,0,0,2,0,4.2
"M1M13lt",-14.545,6.4706,13,0,0,2,1,13.3
"M1M20lt",-15.2282,7.7198,20,0,0,2,1,9.6
"MbanLfreshlt",29.3508,10.4893,15,1,0,2,0,0.1
"MN37lt",1.5267,1.6002,37,0,0,4,0,1.5
"MN4lt",-3.6029,1.2936,4,0,0,4,0,88.6
"MS10F13lt",-2.41,2.7432,13,0,0,2,0,5.4
"MS10F20lt",-12.6311,10.5189,20,0,0,2,0,4.1
"MS210lt",-51.4663,19.6578,10,0,1,3,0,15.3
"MS220Clt",-7.4457,4.2173,20,0,1,3,0,9.8
"MS24Cylt",-3.4521,1.9849,4,0,1,3,0,17.2
"MS2h10lt",-5.16,4.0902,10,0,1,1,0,6
"MS2h25lt",-3.5618,5.7319,25,0,1,1,0,2.7
"MS3F13lt",1.6165,2.0274,13,0,0,2,0,1.3
"MS3F20lt",-3.863,5.9443,20,0,0,2,0,2.8
"MS3M13lt",-20.0133,10.1756,13,0,0,2,1,8.9
"MS3M20lt",-17.8537,10.2644,20,0,0,2,1,7.1
"NaughBAlt",-0.7757,2.987,25,0,1,1,1,2.7
"NaughSAlt",-0.3725,3.371,25,0,1,1,1,2.1
"NaugmBAlt",-3.9612,7.8625,25,0,1,1,1,2.2
"NaugmSAlt",-5.4074,9.1794,25,0,1,1,1,2.3
"NocthBAlt",0.3226,2.3154,25,0,1,1,1,2.2
"NocthBBlt",1.0482,2.4052,25,0,1,1,1,1.6
"NocthSAlt",0.1874,1.8582,25,0,1,1,1,2.9
"NocthSBlt",-0.0976,2.7492,25,0,1,1,1,2.3
"NoctmSAlt",0.1474,2.3315,25,0,1,1,1,2.4
"NsepthBBlt",0.4507,2.8092,25,0,1,1,1,1.9
"NsepthSAlt",0.1326,2.2926,25,0,1,1,1,2.5
"NsepthSBlt",-1.2655,3.4699,25,0,1,1,1,2.7
"NTFDarklt",3.9187,5.4287,26,0,1,1,0,0.7
"NTSLightlt",4.3387,6.4774,26,1,1,1,1,0.7
"OW20Clt",-3.8714,6.179,20,0,1,3,0,2.7
"OW4Clt",-11.0618,5.0304,4,0,1,3,0,14
"PXS25lt",-29.0947,10.1287,25,0,1,3,0,22
"QB4Cylt",-3.6182,2.0566,4,0,1,3,0,16.9
"QBh10lt",-11.2052,7.034,10,0,1,1,0,6.7
"QBh25lt",-15.9845,8.6204,25,0,1,1,0,8.2
"S1CSlt",-1.556,1.4404,30,0,0,3,1,13.5
"S1nCFlt",-1.062,2.9521,30,0,1,3,0,3
"S1nCSlt",-4.8564,5.3858,30,0,1,3,1,3.7
"S1nPF5lt",-19.9216,6.6284,5,0,1,3,0,28.1
"S1nPFlt",-4.3736,6.5888,30,0,1,3,0,2.7
"S1nPSlt",-2.1039,4.751,30,0,1,3,1,2.5
"S4CSlt",-5.3938,3.8932,30,0,0,3,1,7
"S4nCFlt",-5.4414,8.2941,30,0,1,3,0,2.5
"S4nCSlt",-11.3928,7.4375,30,0,1,3,1,6.2
"S4nPF5lt",-16.2421,5.8697,5,0,1,3,0,23.1
"S4nPFlt",-5.3852,7.5614,30,0,1,3,0,2.7
"S4nPSlt",-6.6818,10.5402,30,0,1,3,1,2.3
"S948F13lt",-0.6569,2.5875,13,0,0,2,0,3
"S948F20lt",-6.187,7.0064,20,0,0,2,0,3.3
"SalmBUV2lt",7.791,2.1931,21,1,0,2,0,0.1
"SalmC3E3lt",0.7373,3.5951,9.5,0,1,2,1,1.5
"SalmC3E4lt",-3.6057,5.6522,25,0,1,2,1,2.8
"SalmC4E2lt",3.194,1.2084,18.5,0,0,2,1,0.4
"SalmC4E3lt",3.4047,2.1095,9.5,0,0,2,1,0.6
"SalmC4E4lt",-3.7386,5.307,25,0,0,2,1,3.1
"SD20Clt",-1.8231,5.888,20,0,1,3,0,2
"SD4Clt",-8.9232,4.8676,4,0,1,3,0,9.8
"SG120Clt",-5.7956,4.0423,20,0,1,3,0,7.2
"SG14Clt",-4.6117,1.5609,4,0,1,3,0,78.4
"SG420Clt",4.767,2.7669,20,0,1,3,0,0.4
"SG4220Clt",4.7501,4.0764,20,0,1,3,0,0.5
"SG424Clt",1.3177,2.6851,4,0,1,3,0,1.4
"SMudBuglt",-3.1073,4.6673,6,0,1,2,0,3.1
"SMudLakelt",-5.4106,5.6103,6,0,1,2,0,3.9
"SMudSonalt",-2.2474,4.5795,6,0,1,2,0,2.6
